Day,Day Temperature [°F],Night Temperature [°F],Day Weather Information,Night Weather Information
Wed 14,42.0,33.0,Rain and Snow,Scattered Showers Night
Thu 15,44.0,30.0,Cloudy,Partly Cloudy Night
Fri 16,47.0,32.0,Partly Cloudy,Mostly Clear Night
Sat 17,49.0,34.0,Mostly Sunny,Partly Cloudy Night
Sun 18,54.0,36.0,Mostly Sunny,Partly Cloudy Night
Mon 19,54.0,36.0,Partly Cloudy,Partly Cloudy Night
Tue 20,48.0,35.0,Partly Cloudy,Partly Cloudy Night
Wed 21,46.0,34.0,Partly Cloudy,Partly Cloudy Night
Thu 22,45.0,33.0,Partly Cloudy,Partly Cloudy Night
Fri 23,48.0,35.0,Partly Cloudy,Partly Cloudy Night
Sat 24,47.0,34.0,Partly Cloudy,Partly Cloudy Night
Sun 25,47.0,34.0,Partly Cloudy,Partly Cloudy Night
Mon 26,48.0,34.0,Partly Cloudy,Partly Cloudy Night
Tue 27,47.0,34.0,Partly Cloudy,Mostly Cloudy Night
